Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Weapon Skill,Default Weapon Skill FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Achievement,Obtainable,ID,Weapon Group ID,Weapon ID,Affinity ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Model ID,Reinforce Type ID,Behavior Variation ID,Sort Group Type ID,Sort Group ID,Sort ID
Poison Dismounter,Dismounter,Poison,Curved Greatsword,,Slash,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blade of a scimitar with the heft of a hatchet.

A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",Causes poison buildup (),-,-,Spinning Slash,6,10,100,570,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8021000,8,02,1000,40,-,-1,10281,452,1000,800,1,80,1700009
Blood Dismounter,Dismounter,Blood,Curved Greatsword,,Slash,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blade of a scimitar with the heft of a hatchet.

A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",Causes blood loss buildup (),-,-,Spinning Slash,6,10,100,570,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8021100,8,02,1100,40,-,-1,10281,452,1100,800,1,80,1700010
Cold Dismounter,Dismounter,Cold,Curved Greatsword,,Slash,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blade of a scimitar with the heft of a hatchet.

A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",Causes frost buildup (),-,-,Spinning Slash,6,10,100,570,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8020900,8,02,0900,40,-,-1,10281,452,900,800,1,80,1700011
Occult Dismounter,Dismounter,Occult,Curved Greatsword,,Slash,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blade of a scimitar with the heft of a hatchet.

A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback.",-,-,-,Spinning Slash,6,10,100,570,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8021200,8,02,1200,40,-,-1,10281,452,1200,800,1,80,1700012
Omen Cleaver,Omen Cleaver,Standard,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8060000,8,06,0000,40,-,-1,10284,457,0,802,1,80,1701000
Heavy Omen Cleaver,Omen Cleaver,Heavy,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8060100,8,06,0100,40,-,-1,10284,457,100,802,1,80,1701001
Keen Omen Cleaver,Omen Cleaver,Keen,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8060200,8,06,0200,40,-,-1,10284,457,200,802,1,80,1701002
Quality Omen Cleaver,Omen Cleaver,Quality,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8060300,8,06,0300,40,-,-1,10284,457,300,802,1,80,1701003
Magic Omen Cleaver,Omen Cleaver,Magic,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060800,8,06,0800,40,-,-1,10284,457,800,802,1,80,1701004
Fire Omen Cleaver,Omen Cleaver,Fire,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060400,8,06,0400,40,-,-1,10284,457,400,802,1,80,1701005
Flame Art Omen Cleaver,Omen Cleaver,Flame Art,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060500,8,06,0500,40,-,-1,10284,457,500,802,1,80,1701006
Lightning Omen Cleaver,Omen Cleaver,Lightning,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060600,8,06,0600,40,-,-1,10284,457,600,802,1,80,1701007
Sacred Omen Cleaver,Omen Cleaver,Sacred,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060700,8,06,0700,40,-,-1,10284,457,700,802,1,80,1701008
Poison Omen Cleaver,Omen Cleaver,Poison,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",Causes poison buildup (),-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8061000,8,06,1000,40,-,-1,10284,457,1000,802,1,80,1701009
Blood Omen Cleaver,Omen Cleaver,Blood,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",Causes blood loss buildup (),-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8061100,8,06,1100,40,-,-1,10284,457,1100,802,1,80,1701010
Cold Omen Cleaver,Omen Cleaver,Cold,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",Causes frost buildup (),-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8060900,8,06,0900,40,-,-1,10284,457,900,802,1,80,1701011
Occult Omen Cleaver,Omen Cleaver,Occult,Curved Greatsword,,Slash,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.

The pattern etched upon the blade is the remnant of a deteriorative malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away.",-,-,-,Spinning Slash,6,11.5,200,650,100,19,16,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8061200,8,06,1200,40,-,-1,10284,457,1200,802,1,80,1701012
Monk's Flameblade,Monk's Flameblade,Standard,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8070000,8,07,0000,40,-,-1,10285,413,0,800,1,80,1702000
Monk's Heavy Flameblade,Monk's Flameblade,Heavy,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8070100,8,07,0100,40,-,-1,10285,413,100,800,1,80,1702001
Monk's Keen Flameblade,Monk's Flameblade,Keen,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8070200,8,07,0200,40,-,-1,10285,413,200,800,1,80,1702002
Monk's Quality Flameblade,Monk's Flameblade,Quality,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8070300,8,07,0300,40,-,-1,10285,413,300,800,1,80,1702003
Monk's Magic Flameblade,Monk's Flameblade,Magic,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070800,8,07,0800,40,-,-1,10285,413,800,800,1,80,1702004
Monk's Fire Flameblade,Monk's Flameblade,Fire,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070400,8,07,0400,40,-,-1,10285,413,400,800,1,80,1702005
Monk's Flame Art Flameblade,Monk's Flameblade,Flame Art,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070500,8,07,0500,40,-,-1,10285,413,500,800,1,80,1702006
Monk's Lightning Flameblade,Monk's Flameblade,Lightning,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070600,8,07,0600,40,-,-1,10285,413,600,800,1,80,1702007
Monk's Sacred Flameblade,Monk's Flameblade,Sacred,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070700,8,07,0700,40,-,-1,10285,413,700,800,1,80,1702008
Monk's Poison Flameblade,Monk's Flameblade,Poison,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",Causes poison buildup (),-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8071000,8,07,1000,40,-,-1,10285,413,1000,800,1,80,1702009
Monk's Blood Flameblade,Monk's Flameblade,Blood,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",Causes blood loss buildup (),-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8071100,8,07,1100,40,-,-1,10285,413,1100,800,1,80,1702010
Monk's Cold Flameblade,Monk's Flameblade,Cold,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",Causes frost buildup (),-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8070900,8,07,0900,40,-,-1,10285,413,900,800,1,80,1702011
Monk's Occult Flameblade,Monk's Flameblade,Occult,Curved Greatsword,,Slash,"Curved sword with a flickering flame motif.
Wielded by the Fire Monks who came from the Mountaintops of the Giants.

The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.",-,-,-,Spinning Slash,6,9,200,530,100,18,18,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8071200,8,07,1200,40,-,-1,10285,413,1200,800,1,80,1702012
Beastman's Cleaver,Beastman's Cleaver,Standard,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8080000,8,08,0000,40,-,-1,10286,502,0,800,1,80,1703000
Beastman's Heavy Cleaver,Beastman's Cleaver,Heavy,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8080100,8,08,0100,40,-,-1,10286,502,6000,800,1,80,1703001
Beastman's Keen Cleaver,Beastman's Cleaver,Keen,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8080200,8,08,0200,40,-,-1,10286,502,200,800,1,80,1703002
Beastman's Quality Cleaver,Beastman's Cleaver,Quality,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,Yes,No,Yes,8080300,8,08,0300,40,-,-1,10286,502,300,800,1,80,1703003
Beastman's Magic Cleaver,Beastman's Cleaver,Magic,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080800,8,08,0800,40,-,-1,10286,502,800,800,1,80,1703004
Beastman's Fire Cleaver,Beastman's Cleaver,Fire,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080400,8,08,0400,40,-,-1,10286,502,400,800,1,80,1703005
Beastman's Flame Art Cleaver,Beastman's Cleaver,Flame Art,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080500,8,08,0500,40,-,-1,10286,502,500,800,1,80,1703006
Beastman's Lightning Cleaver,Beastman's Cleaver,Lightning,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080600,8,08,0600,40,-,-1,10286,502,600,800,1,80,1703007
Beastman's Sacred Cleaver,Beastman's Cleaver,Sacred,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080700,8,08,0700,40,-,-1,10286,502,700,800,1,80,1703008
Beastman's Poison Cleaver,Beastman's Cleaver,Poison,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",Causes poison buildup (),-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8081000,8,08,1000,40,-,-1,10286,502,1000,800,1,80,1703009
Beastman's Blood Cleaver,Beastman's Cleaver,Blood,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",Causes blood loss buildup (),-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8081100,8,08,1100,40,-,-1,10286,502,1100,800,1,80,1703010
Beastman's Cold Cleaver,Beastman's Cleaver,Cold,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",Causes frost buildup (),-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8080900,8,08,0900,40,-,-1,10286,502,900,800,1,80,1703011
Beastman's Occult Cleaver,Beastman's Cleaver,Occult,Curved Greatsword,,Slash,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula.

The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken.",-,-,-,Spinning Slash,6,16.5,100,670,100,25,14,0,0,0,No,No,Yes,No,Yes,No,No,Yes,8081200,8,08,1200,40,-,-1,10286,502,1200,800,1,80,1703012
Bloodhound's Fang,Bloodhound's Fang,-,Curved Greatsword,,Slash,"Curved greatsword with a gently undulating blade wielded by Bloodhound Knights.

A fearsome blade capable of brutal airborne attacks.",Causes blood loss buildup (),-,-,Bloodhound's Finesse,8,11.5,500,640,100,18,17,0,0,0,No,No,Yes,No,No,Yes,No,Yes,8030000,8,03,0000,40,-,-1,10282,453,2200,804,1,80,1704000
Onyx Lord's Greatsword,Onyx Lord's Greatsword,-,Curved Greatsword,,Slash,"Greatsword forged from golden-hued meteoric ore.
The blade conceals gravity-manipulating magic.

A weapon unique to the Onyx Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago.",-,-,-,Onyx Lords' Repulsion,27,11.5,500,650,100,20,16,16,0,0,No,No,Yes,No,No,No,No,Yes,8010000,8,01,0000,40,-,-1,10280,404,2200,805,1,80,1705000
Zamor Curved Sword,Zamor Curved Sword,-,Curved Greatsword,,Slash,"Weapon wielded by the knights of Zamor who earned great renown during the War against the Giants.

In apparent devotion to winter, the curved blade is styled after an icy wind and imbued with a powerful frost effect.",Causes frost buildup (),-,-,Zamor Ice Storm,15,9,500,540,100,16,18,0,0,0,No,No,Yes,No,No,No,No,Yes,8050000,8,05,0000,40,-,-1,10289,456,2200,801,1,80,1706000
Magma Wyrm's Scalesword,Magma Wyrm's Scalesword,-,Curved Greatsword,,Slash,"Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales.

It's said these land-bound dragons were once human heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves.",-,-,-,Magma Guillotine,20,15,500,830,100,24,15,0,18,0,No,No,Yes,No,No,No,No,Yes,8040000,8,04,0000,40,-,-1,10283,455,2200,803,1,80,1707000
Morgott's Cursed Sword,Morgott's Cursed Sword,-,Curved Greatsword,,Slash,"Warped blade of shifting hue used by Morgott, the Omen King.

The accursed blood that Morgott recanted and sealed away reformed into this blade.",Causes blood loss buildup (),-,-,Cursed-Blood Slice,20,7.5,1000,400,110,14,35,0,0,17,No,No,Yes,No,No,No,No,Yes,8100000,8,10,0000,40,-,-1,10288,459,2200,810,1,80,1708000
Uchigatana,Uchigatana,Standard,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,9000000,9,00,0000,29,-,-1,10320,550,0,900,1,90,1800000
Heavy Uchigatana,Uchigatana,Heavy,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,9000100,9,00,0100,29,-,-1,10320,550,100,900,1,90,1800001
Keen Uchigatana,Uchigatana,Keen,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,9000200,9,00,0200,29,-,-1,10320,550,200,900,1,90,1800002
Quality Uchigatana,Uchigatana,Quality,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,9000300,9,00,0300,29,-,-1,10320,550,300,900,1,90,1800003
Magic Uchigatana,Uchigatana,Magic,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9000800,9,00,0800,29,-,-1,10320,550,800,900,1,90,1800004
Fire Uchigatana,Uchigatana,Fire,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9000400,9,00,0400,29,-,-1,10320,550,400,900,1,90,1800005
Flame Art Uchigatana,Uchigatana,Flame Art,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9000500,9,00,0500,29,-,-1,10320,550,500,900,1,90,1800006
Lightning Uchigatana,Uchigatana,Lightning,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9000600,9,00,0600,29,-,-1,10320,550,600,900,1,90,1800007
Sacred Uchigatana,Uchigatana,Sacred,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9000700,9,00,0700,29,-,-1,10320,550,700,900,1,90,1800008
Poison Uchigatana,Uchigatana,Poison,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes poison buildup (),Causes blood loss buildup (),-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9001000,9,00,1000,29,-,-1,10320,550,1000,900,1,90,1800009
Blood Uchigatana,Uchigatana,Blood,Katana,,Slash/Pierce,"A katana with a long single-edged curved blade.
A unique weapon wielded by the samurai from the Land of Reeds.

The blade, with its undulating design, boasts extraordinary sharpness, and its slash attacks cause blood loss.",Causes blood loss buildup (),-,-,Unsheathe,0,5.5,100,310,100,11,15,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,9001100,9,00,1100,29,-,-1,10320,550,1100,900,1,90,1800010
