Name,Talisman Name,Icon,Info,Caption,Level,Weight,Sell Price,ID,Icon ID,Sort Group ID,Sort ID,Number of Completed Achievement ID,SpEffect ID [0],SpEffect ID [1],SpEffect ID [2],SpEffect ID [3],SpEffect ID [4]
Magic Scorpion Charm,Magic Scorpion Charm,,"Raises magic attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic. Raises magic attack power, but lowers damage negation.",0,0.8,500,2000,18230,60,405020,-1,320000,0,0,0,0
Fire Scorpion Charm,Fire Scorpion Charm,,"Raises fire attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire. Raises fire attack power, but lowers damage negation.",0,0.8,500,2020,18250,60,405030,-1,320200,0,0,0,0
Lightning Scorpion Charm,Lightning Scorpion Charm,,"Raises lightning attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning. Raises lightning attack power, but lowers damage negation.",0,0.8,500,2010,18240,60,405040,-1,320100,0,0,0,0
Sacred Scorpion Charm,Sacred Scorpion Charm,,"Raises holy attack, but lowers damage negation","A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow. Raises holy attack power, but lowers damage negation.",0,0.8,500,2030,18260,60,405050,-1,320300,0,0,0,0
Crucible Scale Talisman,Crucible Scale Talisman,,Reduces damage taken from critical hits,"A talisman fashioned from a scale that embodies the aspects of various creatures. Said to have grown on the human body long ago. Reduces damage taken from critical hits. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,1.1,500,4060,18550,60,405060,-1,340600,0,0,0,0
Crucible Feather Talisman,Crucible Feather Talisman,,Improves dodge rolling but increases damage taken,"A talisman fashioned from feathers that embody the aspects of various creatures. Said to have grown on the human body long ago. Improves the effectiveness of dodge rolls, but increases damage taken at all times. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,0.8,1000,4070,18560,60,405070,-1,340700,0,0,0,0
Crucible Knot Talisman,Crucible Knot Talisman,,Reduces damage and impact of headshots,"A talisman fashioned from a bony knot that embodies the aspects of various creatures. Said to have grown on the human body long ago. Reduces damage and impact of headshots taken. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,0.5,500,4110,18600,60,405080,-1,341100,0,0,0,0
Red-Feathered Branchsword,Red-Feathered Branchsword,,Raises attack power when HP is low,"A talisman adorned with red feathers, once used in ancient death rituals. Raises attack power when HP is low. The heart sings when one draws close to death, and a glorious end awaits those who cling so tenaciously to life.",0,1.4,500,2040,18270,70,406000,-1,320400,0,0,0,0
Blue-Feathered Branchsword,Blue-Feathered Branchsword,,Raises defense when HP is low,"A talisman adorned with blue feathers, once used in ancient death rituals. Raises defense when HP is low. The heart sings when one draws close to death, and thus does one cling so tenaciously to life—to render up a death worth offering.",0,1.1,500,4080,18570,70,406010,-1,340800,0,0,0,0
Ritual Sword Talisman,Ritual Sword Talisman,,Raises attack power when HP is at maximum,"A talisman patterned after swords used in ritual combat held to honor the Erdtree. Raises attack power when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,0.9,500,2050,18280,70,406020,-1,320500,0,0,0,0
Ritual Shield Talisman,Ritual Shield Talisman,,Raises defense when HP is at maximum,"A talisman patterned after shields used in ritual combat held to honor the Erdtree. Raises defense when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,0.9,500,4090,18580,70,406030,-1,340900,0,0,0,0
Assassin's Crimson Dagger,Assassin's Crimson Dagger,,Critical hits restore HP,"An assassin's dagger, misshapen and stained in crimson. Critical hits restore HP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0,0.8,1500,5050,18660,70,406040,-1,350500,0,0,0,0
Assassin's Cerulean Dagger,Assassin's Cerulean Dagger,,Critical hits restore FP,"An assassin's dagger, misshapen and stained in cerulean. Critical hits restore FP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0,0.8,1500,5060,18670,70,406050,-1,350600,0,0,0,0
Winged Sword Insignia,Winged Sword Insignia,,Raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade. An honor bestowed upon the knights who fought alongside Malenia the Severed. Raises attack power with successive attacks. The wings symbolize Malenia and her undefeated prowess. Though she never knew relief from the accursed rot she was born into, her blade was forever beautiful—and relentless.",0,1.4,500,2080,18310,70,406060,-1,320800,320801,320802,320803,0
Rotten Winged Sword Insignia,Rotten Winged Sword Insignia,,Greatly raises attack power with successive attacks,"A talisman depicting a raised prosthetic blade. An honor bestowed upon the valkyries who serve the Goddess of Rot. Greatly raises attack power with successive attacks. The four sisters were born in the Swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.",0,1.4,500,2081,18311,70,406070,-1,320810,320811,320812,320813,0
Millicent's Prosthesis,Millicent's Prosthesis,,"Boosts dexterity, raises attack power with successive attacks","Part of the golden prosthesis used by Millicent. The hand is locked into a fist that once raised a sword aloft. Boosts dexterity and raises attack power with successive attacks. The despair of sweet betrayal transformed Millicent from a mere bud into a magnificent flower. And one day, she will be reborn—as a beautiful scarlet valkyrie.",0,1.6,1000,1250,18890,70,406080,-1,312500,312501,312502,312503,312504
Godskin Swaddling Cloth,Godskin Swaddling Cloth,,Successive attacks restore HP,"Sacred cloth of the Godskin Apostles, made from supple skin sewn together. Successive attacks restore HP. The Gloam-Eyed Queen cradles newborn apostles swaddled in this cloth. Soon they will grow to become the death of the gods.",0,0.9,1000,5040,18650,70,406090,-1,350400,0,0,0,0
Kindred of Rot's Exultation,Kindred of Rot's Exultation,,Poisoning or rot in vicinity increases attack power,"A talisman depicting the exultation of pests. Raises attack power when poisoning or rot occurs in the vicinity. ""Rot for the scarlet goddess. O scarlet blossoms, flourish in distant lands, and return to us, the unwanted children.""",0,0.9,500,2170,18400,70,406100,-1,321700,0,0,0,0
Lord of Blood's Exultation,Lord of Blood's Exultation,,Blood loss in vicinity increases attack power,"A talisman depicting the exultation of the Lord of Blood. Raises attack power when blood loss occurs in the vicinity. ""Render up your offerings of blood to your Lord. Drench my consort's chamber. Slake his cocoon's thirst. His awakening shall herald the dawn of our dynasty.""",0,0.9,500,2160,18390,70,406110,-1,321600,0,0,0,0
Taker's Cameo,Taker's Cameo,,Restores HP upon defeating enemies,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor. Restores HP upon defeating enemies. When Rykard turned to heresy, taking by force became the rule. The gods themselves were no different, after all.",0,1,1000,5030,18640,70,406120,-1,350300,0,0,0,0
Ancestral Spirit's Horn,Ancestral Spirit's Horn,,Restores FP upon defeating enemies,"Item cut from the horns of the Regal Ancestor Spirit. Restore FP upon defeating enemies. A number of new growths bud from the antler-like horns of the fallen king, each glowing with light. Thus does new life grow from death, and from death, one obtains power.",0,1.2,500,6110,18880,70,406130,-1,361100,0,0,0,0
Gold Scarab,Gold Scarab,,Increases runes obtained from defeated enemies,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This golden scarab increases the amount of runes obtained from defeating enemies.",0,1.2,500,1110,18120,70,406140,-1,311100,0,0,0,0
Silver Scarab,Silver Scarab,,Raises item discovery,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This silver scarab enhances item discovery.",0,1.2,500,1100,18110,70,406150,-1,311000,0,0,0,0
Crepus's Vial,Crepus's Vial,,Eliminates all sound made by the wearer during movement,Small mysterious bottle with a dark mist sealed within. Eliminates all sound made by the wearer during movement. A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared nothing more than utter silence.,0,0.7,500,6000,18680,80,407000,-1,360000,0,0,0,0
Concealing Veil,Concealing Veil,,Conceals wearer while crouching away from foes,Talisman put together from dark cloth with a lustrous sheen. Completely conceals the wearer's presence while crouching at a distance from foes. Part of one of the concealing veils used by the assassins on the Night of Black Knives.,0,0.9,500,6010,18690,80,407010,-1,360100,0,0,0,0
Longtail Cat Talisman,Longtail Cat Talisman,,Renders the wearer immune to fall damage,"A brooch depicting Lacrima, the long-tailed cat. Renders the wearer immune to fall damage. However, it cannot prevent falling to one's death. Lacrima features in the fables of Raya Lucaria, in which she is described as a faerie cat who was fond of playing in the great bell tower.",0,0.6,500,6040,18720,80,407020,-1,360400,0,0,0,0
Furled Finger's Trick-Mirror,Furled Finger's Trick-Mirror,,Take on appearance of a Host of Fingers,"A small, clouded mirror that reflects an image of a golden figure. Makes the bearer take on the appearance of a Host of Fingers. One of the ritual implements created by the Tarnished to deceive invaders.",0,0.7,1000,6080,18760,80,407030,-1,360800,0,0,0,0
Host's Trick-Mirror,Host's Trick-Mirror,,Take on appearance of a cooperator,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a summoned cooperator. One of the ritual implements created by the Tarnished to deceive invaders.",0,0.7,1000,6090,18770,80,407040,-1,360900,0,0,0,0
Shabriri's Woe,Shabriri's Woe,,Constantly attracts enemies' aggression,"Disturbing likeness of a man whose eyes have been gouged out. The corners of his mouth are upturned in an almost flirtatious manner. Constantly attracts enemies' aggression. It is said that the man, named Shabriri, had his eyes gouged out as punishment for the crime of slander, and, with time, the blight of the flame of frenzy came to dwell in the empty sockets.",0,0.6,500,6050,18730,80,407050,-1,360500,0,0,0,0
Daedicar's Woe,Daedicar's Woe,,Increases damage taken,"Disturbing likeness of a woman whose skin was flayed. She smiles with a serene tenderness. Increases damage taken. It is said that this woman, named Daedica, indulged in every form of adultery and wicked pleasure imaginable, giving birth to a myriad of grotesque children.",0,0.8,500,6060,18740,80,407060,-1,360600,0,0,0,0
Sacrificial Twig,Sacrificial Twig,,Will be lost on death in place of runes,"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch. Prevents rune loss upon death, but will be lost itself in exchange. Believed to be a twig pruned from the Erdtree long, long ago.",0,1,1000,6070,18750,80,407070,-1,360700,0,0,0,0
Entwining Umbilical Cord,Entwining Umbilical Cord,,Changes demeanour of wearer's actions,Mysterious circular object that's oddly warped. Changes the demeanour of the wearer's actions.,0,0.5,1000,6100,18780,255,999999,-1,361000,0,0,0,0
