Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Obtainable,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Reinforce Type ID,Behavior Variation ID,AtkParam ID,Base Stamina Cost,Stamina Usage %,multiplied
Magic Falchion,Falchion,Magic,Curved Sword,,Slash,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",-,-,-,Spinning Slash,6,3.5,100,240,100,9,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7000800,7,00,0800,28,-,-1,10240,800,700,700000,12,1.03,12.36
Cold Falchion,Falchion,Cold,Curved Sword,,Slash,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",Causes frost buildup (66),-,-,Spinning Slash,6,3.5,100,240,100,9,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7000900,7,00,0900,28,-,-1,10240,900,700,700000,12,1.03,12.36
Poison Falchion,Falchion,Poison,Curved Sword,,Slash,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",Causes poison buildup (66),-,-,Spinning Slash,6,3.5,100,240,100,9,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7001000,7,00,1000,28,-,-1,10240,1000,700,700000,12,1.03,12.36
Blood Falchion,Falchion,Blood,Curved Sword,,Slash,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",Causes blood loss buildup (57),-,-,Spinning Slash,6,3.5,100,240,100,9,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7001100,7,00,1100,28,-,-1,10240,1100,700,700000,12,1.03,12.36
Occult Falchion,Falchion,Occult,Curved Sword,,Slash,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",-,-,-,Spinning Slash,6,3.5,100,240,100,9,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7001200,7,00,1200,28,-,-1,10240,1200,700,700000,12,1.03,12.36
Beastman's Curved Sword,Beastman's Curved Sword,Standard,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7010000,7,01,0000,28,-,-1,10241,0,701,701150,5,1.06,5.3
Beastman's Heavy Curved Sword,Beastman's Curved Sword,Heavy,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7010100,7,01,0100,28,-,-1,10241,6000,701,701150,5,1.06,5.3
Beastman's Keen Curved Sword,Beastman's Curved Sword,Keen,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7010200,7,01,0200,28,-,-1,10241,200,701,701150,5,1.06,5.3
Beastman's Quality Curved Sword,Beastman's Curved Sword,Quality,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7010300,7,01,0300,28,-,-1,10241,300,701,701150,5,1.06,5.3
Beastman's Fire Curved Sword,Beastman's Curved Sword,Fire,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010400,7,01,0400,28,-,-1,10241,400,701,701150,5,1.06,5.3
Beastman's Flame Art Curved Sword,Beastman's Curved Sword,Flame Art,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010500,7,01,0500,28,-,-1,10241,500,701,701150,5,1.06,5.3
Beastman's Lightning Curved Sword,Beastman's Curved Sword,Lightning,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010600,7,01,0600,28,-,-1,10241,600,701,701150,5,1.06,5.3
Beastman's Sacred Curved Sword,Beastman's Curved Sword,Sacred,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010700,7,01,0700,28,-,-1,10241,700,701,701150,5,1.06,5.3
Beastman's Magic Curved Sword,Beastman's Curved Sword,Magic,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010800,7,01,0800,28,-,-1,10241,800,701,701150,5,1.06,5.3
Beastman's Cold Curved Sword,Beastman's Curved Sword,Cold,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,Causes frost buildup (66),-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7010900,7,01,0900,28,-,-1,10241,900,701,701150,5,1.06,5.3
Beastman's Poison Curved Sword,Beastman's Curved Sword,Poison,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,Causes poison buildup (66),-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7011000,7,01,1000,28,-,-1,10241,1000,701,701150,5,1.06,5.3
Beastman's Blood Curved Sword,Beastman's Curved Sword,Blood,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,Causes blood loss buildup (57),-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7011100,7,01,1100,28,-,-1,10241,1100,701,701150,5,1.06,5.3
Beastman's Occult Curved Sword,Beastman's Curved Sword,Occult,Curved Sword,,Slash,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.,-,-,-,Spinning Slash,6,4,100,270,100,13,11,0,0,0,No,No,Yes,No,Yes,No,Yes,7011200,7,01,1200,28,-,-1,10241,1200,701,701150,5,1.06,5.3
Shotel,Shotel,Standard,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7020000,7,02,0000,28,-,-1,10242,0,702,702100,20,0.915,18.3
Heavy Shotel,Shotel,Heavy,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7020100,7,02,0100,28,-,-1,10242,100,702,702100,20,0.915,18.3
Keen Shotel,Shotel,Keen,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7020200,7,02,0200,28,-,-1,10242,5000,702,702100,20,0.915,18.3
Quality Shotel,Shotel,Quality,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7020300,7,02,0300,28,-,-1,10242,300,702,702100,20,0.915,18.3
Fire Shotel,Shotel,Fire,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020400,7,02,0400,28,-,-1,10242,400,702,702100,20,0.915,18.3
Flame Art Shotel,Shotel,Flame Art,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020500,7,02,0500,28,-,-1,10242,500,702,702100,20,0.915,18.3
Lightning Shotel,Shotel,Lightning,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020600,7,02,0600,28,-,-1,10242,600,702,702100,20,0.915,18.3
Sacred Shotel,Shotel,Sacred,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020700,7,02,0700,28,-,-1,10242,700,702,702100,20,0.915,18.3
Magic Shotel,Shotel,Magic,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020800,7,02,0800,28,-,-1,10242,800,702,702100,20,0.915,18.3
Cold Shotel,Shotel,Cold,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",Causes frost buildup (66),-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7020900,7,02,0900,28,-,-1,10242,900,702,702100,20,0.915,18.3
Poison Shotel,Shotel,Poison,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",Causes poison buildup (66),-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7021000,7,02,1000,28,-,-1,10242,1000,702,702100,20,0.915,18.3
Blood Shotel,Shotel,Blood,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",Causes blood loss buildup (57),-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7021100,7,02,1100,28,-,-1,10242,1100,702,702100,20,0.915,18.3
Occult Shotel,Shotel,Occult,Curved Sword,,Slash,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard. Made to hunt down humans, this weapon requires high dexterity to wield effectively.",-,-,-,Spinning Slash,6,2,100,140,100,9,19,0,0,0,No,No,Yes,No,Yes,No,Yes,7021200,7,02,1200,28,-,-1,10242,1200,702,702100,20,0.915,18.3
Shamshir,Shamshir,Standard,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7030000,7,03,0000,28,-,-1,10243,0,714,714000,10,1.07,10.7
Heavy Shamshir,Shamshir,Heavy,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7030100,7,03,0100,28,-,-1,10243,100,714,714000,10,1.07,10.7
Keen Shamshir,Shamshir,Keen,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7030200,7,03,0200,28,-,-1,10243,200,714,714000,10,1.07,10.7
Quality Shamshir,Shamshir,Quality,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7030300,7,03,0300,28,-,-1,10243,300,714,714000,10,1.07,10.7
Fire Shamshir,Shamshir,Fire,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030400,7,03,0400,28,-,-1,10243,400,714,714000,10,1.07,10.7
Flame Art Shamshir,Shamshir,Flame Art,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030500,7,03,0500,28,-,-1,10243,500,714,714000,10,1.07,10.7
Lightning Shamshir,Shamshir,Lightning,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030600,7,03,0600,28,-,-1,10243,600,714,714000,10,1.07,10.7
Sacred Shamshir,Shamshir,Sacred,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030700,7,03,0700,28,-,-1,10243,700,714,714000,10,1.07,10.7
Magic Shamshir,Shamshir,Magic,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030800,7,03,0800,28,-,-1,10243,800,714,714000,10,1.07,10.7
Cold Shamshir,Shamshir,Cold,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",Causes frost buildup (66),-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7030900,7,03,0900,28,-,-1,10243,900,714,714000,10,1.07,10.7
Poison Shamshir,Shamshir,Poison,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",Causes poison buildup (66),-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7031000,7,03,1000,28,-,-1,10243,1000,714,714000,10,1.07,10.7
Blood Shamshir,Shamshir,Blood,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",Causes blood loss buildup (57),-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7031100,7,03,1100,28,-,-1,10243,1100,714,714000,10,1.07,10.7
Occult Shamshir,Shamshir,Occult,Curved Sword,,Slash,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman.",-,-,-,Spinning Slash,6,3.5,100,230,100,7,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7031200,7,03,1200,28,-,-1,10243,1200,714,714000,10,1.07,10.7
Bandit's Curved Sword,Bandit's Curved Sword,Standard,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7040000,7,04,0000,28,-,-1,10244,0,700,700000,12,1.2,14.4
Bandit's Heavy Curved Sword,Bandit's Curved Sword,Heavy,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7040100,7,04,0100,28,-,-1,10244,100,700,700000,12,1.2,14.4
Bandit's Keen Curved Sword,Bandit's Curved Sword,Keen,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7040200,7,04,0200,28,-,-1,10244,200,700,700000,12,1.2,14.4
Bandit's Quality Curved Sword,Bandit's Curved Sword,Quality,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7040300,7,04,0300,28,-,-1,10244,300,700,700000,12,1.2,14.4
Bandit's Fire Curved Sword,Bandit's Curved Sword,Fire,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040400,7,04,0400,28,-,-1,10244,400,700,700000,12,1.2,14.4
Bandit's Flame Art Curved Sword,Bandit's Curved Sword,Flame Art,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040500,7,04,0500,28,-,-1,10244,500,700,700000,12,1.2,14.4
Bandit's Lightning Curved Sword,Bandit's Curved Sword,Lightning,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040600,7,04,0600,28,-,-1,10244,600,700,700000,12,1.2,14.4
Bandit's Sacred Curved Sword,Bandit's Curved Sword,Sacred,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040700,7,04,0700,28,-,-1,10244,700,700,700000,12,1.2,14.4
Bandit's Magic Curved Sword,Bandit's Curved Sword,Magic,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040800,7,04,0800,28,-,-1,10244,800,700,700000,12,1.2,14.4
Bandit's Cold Curved Sword,Bandit's Curved Sword,Cold,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",Causes frost buildup (66),-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7040900,7,04,0900,28,-,-1,10244,900,700,700000,12,1.2,14.4
Bandit's Poison Curved Sword,Bandit's Curved Sword,Poison,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",Causes poison buildup (66),-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7041000,7,04,1000,28,-,-1,10244,1000,700,700000,12,1.2,14.4
Bandit's Blood Curved Sword,Bandit's Curved Sword,Blood,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",Causes blood loss buildup (57),-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7041100,7,04,1100,28,-,-1,10244,1100,700,700000,12,1.2,14.4
Bandit's Occult Curved Sword,Bandit's Curved Sword,Occult,Curved Sword,,Slash,"Curved sword with a light, crescent-shaped blade. Used by the bandits who ran rampant in the wake of the Shattering. Most of the blade is now darkened and covered in rust, but with enough dexterity this weapon may still stand up to some use.",-,-,-,Spinning Slash,6,5,100,310,100,11,13,0,0,0,No,No,Yes,No,Yes,No,Yes,7041200,7,04,1200,28,-,-1,10244,1200,700,700000,12,1.2,14.4
Magma Blade,Magma Blade,-,Curved Sword,,Slash,"Curved sword with a blade fashioned from the lava of Mt. Gelmir. An armament of the man-serpents, impossible for a human to have made. Deals fire damage.",-,-,-,Magma Shower,12,4,200,270,100,9,15,0,16,0,No,No,Yes,No,No,No,Yes,7050000,7,05,0000,28,-,-1,10245,2200,703,303400500,15,1.06,15.9
Flowing Curved Sword,Flowing Curved Sword,Standard,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7060000,7,06,0000,28,-,-1,10246,0,706,706100,10,1.03,10.3
Flowing Heavy Curved Sword,Flowing Curved Sword,Heavy,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7060100,7,06,0100,28,-,-1,10246,100,706,706100,10,1.03,10.3
Flowing Keen Curved Sword,Flowing Curved Sword,Keen,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7060200,7,06,0200,28,-,-1,10246,5000,706,706100,10,1.03,10.3
Flowing Quality Curved Sword,Flowing Curved Sword,Quality,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,Yes,Yes,7060300,7,06,0300,28,-,-1,10246,300,706,706100,10,1.03,10.3
Flowing Fire Curved Sword,Flowing Curved Sword,Fire,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,No,Yes,7060400,7,06,0400,28,-,-1,10246,400,706,706100,10,1.03,10.3
Flowing Flame Art Curved Sword,Flowing Curved Sword,Flame Art,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,No,Yes,7060500,7,06,0500,28,-,-1,10246,500,706,706100,10,1.03,10.3
Flowing Lightning Curved Sword,Flowing Curved Sword,Lightning,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,No,Yes,7060600,7,06,0600,28,-,-1,10246,600,706,706100,10,1.03,10.3
Flowing Sacred Curved Sword,Flowing Curved Sword,Sacred,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,No,Yes,7060700,7,06,0700,28,-,-1,10246,700,706,706100,10,1.03,10.3
Flowing Magic Curved Sword,Flowing Curved Sword,Magic,Curved Sword,,Slash,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.",-,-,-,Spinning Slash,6,3.5,200,240,100,9,17,0,0,0,No,No,Yes,No,Yes,No,Yes,7060800,7,06,0800,28,-,-1,10246,800,706,706100,10,1.03,10.3
