Name,Talisman Name,Icon,Info,Caption,Level,Weight,Sell Price,ID,Icon ID
Ritual Shield Talisman,Ritual Shield Talisman,,Raises defense when HP is at maximum,"A talisman patterned after shields used in ritual combat held to honor the Erdtree. Raises defense when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,0.9,500,4090,18580
Greatshield Talisman,Greatshield Talisman,,Boosts guarding ability,"Talisman depicting a knight holding a greatshield. Boosts guarding ability. The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword.",0,0.9,500,4100,18590
Crucible Knot Talisman,Crucible Knot Talisman,,Reduces damage and impact of headshots,"A talisman fashioned from a bony knot that embodies the aspects of various creatures. Said to have grown on the human body long ago. Reduces damage and impact of headshots taken. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,0.5,500,4110,18600
Crimson Seed Talisman,Crimson Seed Talisman,,Boosts HP restoration from Flask of Crimson Tears,"A crimson-colored talisman patterned after an Erdtree seed. Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,0.8,1000,5000,18610
Cerulean Seed Talisman,Cerulean Seed Talisman,,Boosts FP restoration from Flask of Cerulean Tears,"A cerulean-colored talisman patterned after an Erdtree seed. Boosts FP restoration from the Flask of Cerulean Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,0.8,1000,5010,18620
Blessed Dew Talisman,Blessed Dew Talisman,,Slowly restores HP,"Talisman depicting a drop of the Erdtree's sap, a blessed boon. Gradually restores HP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever—but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.",0,0.6,1000,5020,18630
Taker's Cameo,Taker's Cameo,,Restores HP upon defeating enemies,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor. Restores HP upon defeating enemies. When Rykard turned to heresy, taking by force became the rule. The gods themselves were no different, after all.",0,1,1000,5030,18640
Godskin Swaddling Cloth,Godskin Swaddling Cloth,,Successive attacks restore HP,"Sacred cloth of the Godskin Apostles, made from supple skin sewn together. Successive attacks restore HP. The Gloam-Eyed Queen cradles newborn apostles swaddled in this cloth. Soon they will grow to become the death of the gods.",0,0.9,1000,5040,18650
Assassin's Crimson Dagger,Assassin's Crimson Dagger,,Critical hits restore HP,"An assassin's dagger, misshapen and stained in crimson. Critical hits restore HP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0,0.8,1500,5050,18660
Assassin's Cerulean Dagger,Assassin's Cerulean Dagger,,Critical hits restore FP,"An assassin's dagger, misshapen and stained in cerulean. Critical hits restore FP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of Death.",0,0.8,1500,5060,18670
Crepus's Vial,Crepus's Vial,,Eliminates all sound made by the wearer during movement,Small mysterious bottle with a dark mist sealed within. Eliminates all sound made by the wearer during movement. A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared nothing more than utter silence.,0,0.7,500,6000,18680
Concealing Veil,Concealing Veil,,Conceals wearer while crouching away from foes,Talisman put together from dark cloth with a lustrous sheen. Completely conceals the wearer's presence while crouching at a distance from foes. Part of one of the concealing veils used by the assassins on the Night of Black Knives.,0,0.9,500,6010,18690
Carian Filigreed Crest,Carian Filigreed Crest,,Lowers FP consumed by skills,"A talisman adorned with the royal crest. Lowers FP consumed by skills. An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.",0,0.8,1000,6020,18700
Longtail Cat Talisman,Longtail Cat Talisman,,Renders the wearer immune to fall damage,"A brooch depicting Lacrima, the long-tailed cat. Renders the wearer immune to fall damage. However, it cannot prevent falling to one's death. Lacrima features in the fables of Raya Lucaria, in which she is described as a faerie cat who was fond of playing in the great bell tower.",0,0.6,500,6040,18720
Shabriri's Woe,Shabriri's Woe,,Constantly attracts enemies' aggression,"Disturbing likeness of a man whose eyes have been gouged out. The corners of his mouth are upturned in an almost flirtatious manner. Constantly attracts enemies' aggression. It is said that the man, named Shabriri, had his eyes gouged out as punishment for the crime of slander, and, with time, the blight of the flame of frenzy came to dwell in the empty sockets.",0,0.6,500,6050,18730
Daedicar's Woe,Daedicar's Woe,,Increases damage taken,"Disturbing likeness of a woman whose skin was flayed. She smiles with a serene tenderness. Increases damage taken. It is said that this woman, named Daedica, indulged in every form of adultery and wicked pleasure imaginable, giving birth to a myriad of grotesque children.",0,0.8,500,6060,18740
Sacrificial Twig,Sacrificial Twig,,Will be lost on death in place of runes,"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch. Prevents rune loss upon death, but will be lost itself in exchange. Believed to be a twig pruned from the Erdtree long, long ago.",0,1,1000,6070,18750
Furled Finger's Trick-Mirror,Furled Finger's Trick-Mirror,,Take on appearance of a Host of Fingers,"A small, clouded mirror that reflects an image of a golden figure. Makes the bearer take on the appearance of a Host of Fingers. One of the ritual implements created by the Tarnished to deceive invaders.",0,0.7,1000,6080,18760
Host's Trick-Mirror,Host's Trick-Mirror,,Take on appearance of a cooperator,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a summoned cooperator. One of the ritual implements created by the Tarnished to deceive invaders.",0,0.7,1000,6090,18770
Entwining Umbilical Cord,Entwining Umbilical Cord,,Changes demeanour of wearer's actions,Mysterious circular object that's oddly warped. Changes the demeanour of the wearer's actions.,0,0.5,1000,6100,18780
Ancestral Spirit's Horn,Ancestral Spirit's Horn,,Restores FP upon defeating enemies,"Item cut from the horns of the Regal Ancestor Spirit. Restore FP upon defeating enemies. A number of new growths bud from the antler-like horns of the fallen king, each glowing with light. Thus does new life grow from death, and from death, one obtains power.",0,1.2,500,6110,18880
