Name,Type,Icon,Info 1,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Damage Type,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Stamina),Enchantment,Obtainable?,Item Type,ID,Icon ID,AtkParam ID
"Flame, Cleanse Me",Incantation,,Alleviates buildup & cures poison and scarlet rot,One of the incantations of the Fire Monks. Creates a fire within that burns away toxins. Alleviates poison and scarlet rot buildup and cures these ailments. This incantation leaves the caster with subtle burns—a reminder that they must fear the flame.,0,12,1,1,14,0,10,-,0,0,0,0,0,0,No,No,0,6040,0,0
"Flame, Grant Me Strength",Incantation,,Raises physical and fire-affinity attack power,"Superior incantation of the Fire Monks. Creates an invigorating fire within that enhances physical and fire-affinity attack power. This incantation does not burn the caster, and so it is considered forbidden by the guardians of the Flame.",0,15,1,1,28,0,16,-,0,0,0,0,0,0,No,No,0,6050,0,0
"Flame, Protect Me",Incantation,,Greatly increases fire damage negation,"The most ancient of the Fire Monks' incantations. Creates a fire within that greatly increases fire damage negation. It is said that this incantation was used during the War against the Giants long ago, during which it protected the champions of the Erdtree.",0,24,1,1,30,32,20,-,0,0,0,0,0,0,No,No,0,6060,0,0
Giantsflame Take Thee,Incantation,,Hurls massive ball of raging fire,One of the incantations that draws directly from the power of the Fire Giants. Hurls a massive ball of raging fire. Charging enhances potency and causes the ball of fire to explode. There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence.,0,30,0,2,32,0,43,-,0,0,0,0,0,0,No,Yes,16,6100,6204,79980
Flame of the Fell God,Incantation,,Summons raging fireball that explodes and sets the area ablaze,"This legendary incantation is one of several that draws directly from the power of the Fire Giants. Releases a ball of raging fire said to be inhabited by a fell god. The fireball floats toward enemies and explodes, setting the area ablaze. Arghanthy, the chief guardian of the Flame, had kept this incantation a well-kept secret until it was stolen by Adan. The fell god still lurks within the Fire Giants.",0,41,0,2,50,30,42,-,0,0,0,0,0,0,No,Yes,16,6110,6207,79983
"Burn, O Flame!",Incantation,,Raises a series of flame pillars around caster,"One of the incantations that draws directly from the power of the Fire Giants. Raises a series of flame pillars around the caster. Charging further increases the number of flame pillars. The Fire Giants borrowed from the power of a fell god, and still they were defeated. Yet their failure released them from their solitary curse: to serve as keepers of the Flame for eternity.",0,27,1,1,30,18,36,-,0,0,0,0,0,0,No,No,0,6120,0,0
Black Flame,Incantation,,Throws a ball of raging black fire,A black flame incantation of the Godskin Apostles. Throws a ball of raging black fire. Charging enhances potency and causes the fireball to explode. Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.,0,20,0,1,18,0,25,-,0,0,0,0,0,0,No,Yes,16,6210,6203,0
"Surge, O Flame!",Incantation,,Incinerates area before caster with stream of fire,"Superior incantation of the Fire Monks. Creates a stream of fire to burn the area before the caster. This incantation can be cast while in motion. Hold to maintain the effect. The Giants' Flame is the flame of ruin, capable of burning the Erdtree. And so, following the War against the Giants, its ruinous blaze was sealed, and guardians were appointed to watch over it.",0,9,1,1,1,27,2,-,0,0,0,0,0,0,No,No,0,6220,0,0
Scouring Black Flame,Incantation,,Sweeps area before caster with black flame,"A black flame incantation of the Godskin Apostles. Sweeps a wide area before the caster with black flame. Charging enhances range. The black flame could once slay gods. But when Maliketh sealed Destined Death, the true power of the black flame was lost.",0,28,0,1,27,36,29,Fire,0,0,255,0,0,65,No,Yes,16,6230,6210,62300
Black Flame Ritual,Incantation,,Summons circle of black flame pillars around caster,Superior black flame incantation of the Godskin Apostles. Summons a circle of black flame pillars around the caster. Charging increases the size of the circle. The Gloam-Eyed Queen led the apostles. It is said that she was an Empyrean chosen by the Fingers.,0,42,0,1,36,0,39,-,0,0,0,0,0,0,No,Yes,16,6240,6214,0
Black Flame Blade,Incantation,,Enchants right-hand armament with black flame,A black flame incantation of the Godskin Apostles. Engulfs armament held in the right hand with black flame. This incantation can be cast without delay after performing another action. Black flame is weighty. After dealing damage it continues to sap foes' HP for a very short time.,0,17,0,1,15,0,10,-,-,-,-,-,-,-,Yes,Yes,18,6250,6306,-
Black Flame's Protection,Incantation,,Increases physical damage negation,"A black flame incantation of the Godskin Apostles. Summons black fire within, increasing physical damage negation. However, sacred flasks and other such forms of HP restoration are impaired. The Apostles were all embraced by the Gloam-Eyed Queen, and the black flame was their armor within.",0,30,0,1,30,20,13,-,-,-,-,-,-,-,No,Yes,18,6260,6310,-
Noble Presence,Incantation,,Thrust out belly with gusto to unleash repelling shockwave,"Ancient power of the Godskin Nobles. Thrust out belly with gusto to produce a shockwave that knocks back nearby foes. Charging enhances potency, knocking enemies into the air. Once a sign of the gods' wrath, this incantation became a trophy of the Nobles' god hunt.",0,26,0,1,20,0,35,-,0,0,0,0,0,0,No,Yes,16,6270,6055,1
Bloodflame Talons,Incantation,,Creates bloodflame lacerations that then explode,"A Blood Oath incantation, granted by the Lord of Blood. Creates bloodflame lacerations before the caster, which explode in an instant. This incantation can be cast repeatedly. After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",0,13,15,1,18,0,21,-,0,0,0,0,0,0,No,Yes,16,6300,6056,79983
Bloodboon,Incantation,,Scatters bloodflame before caster to set area aflame,"Sacred incantation of Mohg, Lord of Blood. Thrust arm into the body of the Formless Mother, then scatter the bloodflame to set the area ablaze. This incantation can be cast while in motion. The mother of truth craves wounds. When Mohg stood before her, deep underground, his accursed blood erupted with fire, and he was besotted with the defilement that he was born into.",0,14,17,1,15,0,34,Fire,0,0,152,0,0,80,No,Yes,16,6310,6254,63100
Bloodflame Blade,Incantation,,Enchants right-hand armament with bloodflame,"A Blood Oath incantation, granted by the Lord of Blood. Engulfs armament held in the right hand with bloodflame. This incantation can be cast while in motion. After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",0,12,10,1,20,0,10,-,-,-,-,-,-,-,Yes,Yes,18,6320,6307,-
Barrier of Gold,Incantation,,Greatly increases magic damage negation for self & allies,"One of the incantations of Erdtree Worship. Greatly increases magic damage negation for the caster and nearby allies. Hold to continue praying and delay activation. This incantation was used by the champions of the Erdtree in the First and Second Liurnian Wars, during which the red-haired Radagon joined the heroes' ranks.",0,24,0,1,30,0,13,-,0,0,0,0,0,0,No,Yes,18,6330,6311,63300
Protection of the Erdtree,Incantation,,Increases affinity damage negation for self & allies,"A superior incantation of Erdtree Worship. Increase damage negation for all affinities except physical, for both the caster and nearby allies. Hold to continue praying and delay activation. In the beginning, everything was in opposition to the Erdtree. But through countless victories in war, it became the embodiment of Order.",0,35,0,1,30,9,50,-,0,0,0,0,0,0,No,Yes,18,6340,6255,63400
Rejection,Incantation,,Produces a shockwave that pushes away foes,"Incantation of the Two Fingers' faithful. Produces a shockwave that knocks back nearby foes. Charging increases the size of the shockwave. Hark, Tarnished! If you truly walk in faith, you must be prepared to reject all else.",0,12,0,1,9,40,24,-,0,0,0,0,0,150,No,Yes,16,6400,6250,64000
Wrath of Gold,Incantation,,Produces golden shockwave that knocks back foes,"Superior Erdtree Worship incantation. Produces a golden shockwave that knocks back nearby foes. Charging increases the size of the shockwave. This incantation was discovered when the Elden Ring was shattered, and it was feared as a sign of the Erdtree's wrath.",0,32,0,1,40,0,44,Holy,0,0,0,0,350,221,No,Yes,16,6410,6251,64100
Urgent Heal,Incantation,,Heals a small amount of HP,"Incantation of the Two Fingers' faithful. Heals a small amount of HP. This incantation can be cast while in motion. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,8,0,1,16,0,30,-,0,0,0,0,0,0,No,Yes,18,6420,6300,64200
Heal,Incantation,,Heals HP for self and nearby allies,"Incantation of the Two Fingers' faithful. Heals HP for the caster and nearby allies. Hold to continue praying and delay activation. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,12,0,1,32,0,35,-,0,0,0,0,0,0,No,Yes,18,6421,6301,64210
Great Heal,Incantation,,Greatly heals HP for self and nearby allies,"Superior incantation of the Two Fingers' faithful. Greatly heals HP for the caster and nearby allies. Hold to continue praying and delay activation. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,15,0,1,45,0,40,-,0,0,0,0,0,0,No,Yes,18,6422,6505,64220
Lord's Heal,Incantation,,Massively heals HP for self and nearby allies,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord. Heals a massive amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. Tarnished—O, Tarnished! Seek the Erdtree and stand before Marika, its Queen. Become the Elden Lord!",0,20,0,1,55,0,45,-,0,0,0,0,0,0,No,Yes,18,6423,6506,64230
Erdtree Heal,Incantation,,Vastly heals HP for self and nearby allies,One of the ancient Erdtree incantations. Heals a vast amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. The Erdtree once flourished with abundance—yet it was only for a fleeting moment. Such is the course of all life.,0,42,0,1,65,0,50,-,0,0,0,0,0,0,No,Yes,18,6424,6302,64240
Blessing's Boon,Incantation,,Grants blessing to self and nearby allies,"One of the ancient Erdtree incantations. Grants a blessing to the caster and nearby allies, gradually restoring HP. Hold to continue praying and delay activation. Blessings once fell like tears from the Erdtree, and this incantation is but a lingering remnant of their power.",0,24,0,1,30,0,30,-,0,0,0,0,0,0,No,Yes,18,6430,6304,64300
Blessing of the Erdtree,Incantation,,Grants greater blessing to self and nearby allies,"One of the ancient Erdtree incantations. Grants a greater blessing to the caster and nearby allies, gradually restoring a large amount of HP. Hold to continue praying and delay activation. The Erdtree once flourished with abundance—yet it was only for a fleeting moment. Such is the course of all life.",0,38,0,1,60,0,50,-,0,0,0,0,0,0,No,Yes,18,6431,6305,64310
Cure Poison,Incantation,,Alleviates poison buildup and cures poison,"Incantation of the Two Fingers' faithful. Alleviates poison buildup and cures poison. This incantation can be cast while in motion. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",0,10,0,1,7,0,10,-,0,0,0,0,0,0,No,Yes,18,6440,6057,64400
Lord's Aid,Incantation,,Alleviates poison/blood loss/sleep buildup for self/allies,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord. Alleviates buildup of poison, blood loss, and sleep for the caster and nearby allies. Additionally, cures poison. Hold to continue praying and delay activation.",0,12,0,1,12,0,10,-,0,0,0,0,0,0,No,Yes,18,6441,6058,64410
Flame Fortification,Incantation,,Increases fire damage negation,"Incantation of the Two Fingers' faithful. Increases fire damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,0,13,-,-,-,-,-,-,-,No,Yes,18,6450,6707,-
Magic Fortification,Incantation,,Increases magic damage negation,"Incantation of the Two Fingers' faithful. Increases magic damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,0,13,-,-,-,-,-,-,-,No,Yes,18,6460,6708,-
Lightning Fortification,Incantation,,Increases lightning damage negation,"Incantation of the Two Fingers' faithful. Increases lightning damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,0,13,-,-,-,-,-,-,-,No,Yes,18,6470,6709,-
Divine Fortification,Incantation,,Increases holy damage negation,"Incantation of the Two Fingers' faithful. Increases holy damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me—the Lands Between offers no welcome to the Tarnished.",0,10,0,1,20,0,13,-,-,-,-,-,-,-,No,Yes,18,6480,6710,-
Lord's Divine Fortification,Incantation,,Greatly increases holy damage negation incl. allies,"Incantation taught to Gideon the All-Knowing by the Two Fingers. Greatly increases holy damage negation for the caster and nearby allies. Hold to continue praying and delay activation. Gideon gained true knowledge after his long exchange with the Two Fingers—discovering all had been broken long ago; that the trembling fingers, bent with age, and the Erdtree itself, were no exception.",0,27,0,1,30,20,20,-,0,0,0,0,0,0,No,Yes,18,6490,6711,64900
Night Maiden's Mist,Incantation,,Releases life-sapping silver mist before caster,"One of the night sorceries of Sellia, Town of Sorcery. Releases a life-sapping silver mist before the caster, dealing damage to all caught within, including the caster. This sorcery can be cast while in motion. Below Sellia, the Eternal City of Nokron sleeps. This sorcery originates from the maiden of that place.",14,0,0,1,20,0,20,-,0,0,0,0,0,0,No,Yes,5,6500,6253,0
Assassin's Approach,Incantation,,"Silences footsteps, reduces fall damage/sound","Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Completely silences the footsteps of the caster. Additionally, reduces fall damage and the sound produced by falling. This sorcery can be cast while in motion or crouching. The assassins were charged with eliminating Tarnished who had strayed from guidance.",0,10,0,1,15,0,13,-,0,0,0,0,0,0,No,Yes,18,6510,6312,65101
Shadow Bait,Incantation,,Creates shadow that lures the aggression of foes of human build,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Creates a pale gold shadow before the caster, luring foes of human build and attracting their aggression. This incantation can be cast while in motion or crouching, and will still affect foes that are already in a combat state. It is said that those beguiled by the shadow see within it a hated foe.",0,13,0,1,15,0,14,-,0,0,0,0,0,0,No,Yes,18,6520,6313,65200
Darkness,Incantation,,Creates area of darkness that conceals caster,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Creates a veil of darkness that conceals the caster. This incantation can be cast while in motion or crouching. The assassins were themselves once Tarnished who had strayed from guidance, and they pursued their duty in the darkness that is without grace.",0,18,0,1,34,0,24,-,0,0,0,0,0,0,No,Yes,18,6530,6059,65300
Golden Vow,Incantation,,Increases attack and defense for self and allies,"An incantation of Erdtree Worship. Increases attack power and defense for the caster and nearby allies. Hold to continue praying and delay activation. This incantation has been taught to knights of the royal capital for generations, and knights sent on distant expeditions lean on it as a source of courage.",0,25,0,1,47,0,50,-,0,0,0,0,0,0,No,Yes,18,6600,6504,66000
Discus of Light,Incantation,,Fires ring of light before the caster,"One of the incantations of the Golden Order fundamentalists. Produces a ring of light and fires it forwards. The ring of light returns to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon.",13,13,0,1,11,0,20,Holy,0,0,0,0,114,40,No,Yes,16,6700,6252,67000
Triple Rings of Light,Incantation,,Fires three rings of light before the caster,"One of the incantations of the Golden Order fundamentalists. Produces three rings of light and fires them forwards. The rings of light return to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon.",23,23,0,1,23,29,28,Holy,0,0,0,0,134,50,No,Yes,16,6701,6061,67010
Radagon's Rings of Light,Incantation,,Creates golden ring of light to attack wide area,"One of the incantations of the Golden Order fundamentalists. A gift of gratitude to the young Miquella from his father, Radagon. Produces a golden ring of light and fires it across a wide area. Charging enhances range. And yet, the young Miquella abandoned fundamentalism, for it could do nothing to treat Malenia's accursed rot. This was the beginning of unalloyed gold.",31,31,0,1,29,0,37,Holy,0,0,0,0,282,170,No,Yes,16,6710,6062,67100
Elden Stars,Incantation,,Creates a stream of golden shooting stars that assail the area,"This legendary incantation is the most ancient of those that derive from the Erdtree. Creates a stream of golden shooting stars that assail the area. It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring.",0,50,0,2,47,0,48,Holy,0,0,0,0,61,5,No,Yes,16,6720,6063,67202
Law of Regression,Incantation,,Heals all ailments and dispels all special effects,"Incantation of the Golden Order fundamentalists. One of the key fundamentals. Heals all negative statuses, dispels special effects, and reveals mimicry in all its forms. The fundamentalists describe the Golden Order through the powers of regression and causality. Regression is the pull of meaning; that all things yearn eternally to converge.",37,0,0,1,55,0,50,-,0,0,0,0,0,0,No,Yes,18,6730,6064,67300
Immutable Shield,Incantation,,Increases left-hand shield's affinity/ailment resistance,"One of the incantations of the Golden Order fundamentalists. Enchants shield held in the left hand with the light of regression, increasing all forms of non-physical damage negation and ailment resistance. Two concepts form the basis for Golden Order fundamentalism. One is the law of regression, to which this incantation relates.",19,19,0,1,15,0,10,-,-,-,-,-,-,-,No,Yes,18,6740,6065,-
Litany of Proper Death,Incantation,,Creates image of Order to deal holy damage,"One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Creates an image of Order, dealing holy damage to nearby foes. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived. The role of the hunters is to stamp out defiled reason—all for the perfection of the Golden Order.",17,17,0,1,17,0,28,Holy,0,0,0,0,56,60,No,Yes,16,6750,6256,67500
Law of Causality,Incantation,,Retaliates upon receiving a number of blows,One of the incantations of the Golden Order fundamentalists. One of the key fundamentals. Manifests a small ring of causality within that allows the caster to automatically retaliate upon receiving a certain number of blows. The fundamentalists describe the Golden Order through the powers of regression and causality. Causality is the pull between meanings; it is the connections that form the relationships of all things.,29,0,0,1,22,0,20,-,0,0,0,0,0,0,No,Yes,18,6760,6066,67601
Order's Blade,Incantation,,Enchanted right-hand armament with holy damage,One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Enchants armament held in the right hand with holy-affinity attacks. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived. The role of the hunters is to stamp out defiled reason—all for the perfection of the Golden Order.,13,13,0,1,22,0,10,-,-,-,-,-,-,-,Yes,Yes,18,6770,6067,-
Order Healing,Incantation,,Alleviates death blight buildup,"One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Alleviates death blight buildup. The noble Goldmask lamented what had become of the hunters. How easy it is for learning and learnedness to be reduced to the ravings of fanatics; all the good and the great wanted, in their foolishness, was an absolute evil to contend with. Does such a notion exist in the fundamentals of Order?",11,11,0,1,15,0,10,-,0,0,0,0,0,0,No,Yes,18,6780,6068,67800
Bestial Sling,Incantation,,Swiftly flings numerous sharp rock shards,"Incantation taught by Gurranq, the Beast Clergyman. Swiftly flings a number of sharp rock shards. This incantation can be cast without delay after performing another action. It is said that in the time before the Erdtree, stones were the first weapons of the beasts who had gained intelligence.",0,10,0,1,7,0,19,Physical,87,0,0,0,0,40,No,Yes,16,6800,6400,68000
Stone of Gurranq,Incantation,,Hurls a boulder before the caster,"Superior incantation taught by Gurranq, the Beast Clergyman. Hurls a boulder before the caster. This incantation can be cast repeatedly. Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods.""",0,13,0,1,15,10,37,-,0,0,0,0,0,0,No,Yes,16,6810,6401,79982
Beast Claw,Incantation,,Creates beast claws that tear through the land,"Incantation taught by Gurranq, the Beast Clergyman. Creates beast claws that rend the land with shockwaves. Charging enhances potency. This incantation represents the fury of Gurranq, his bestial nature returned, as much as it does his restless agitation.",0,8,0,1,10,0,27,Physical,193,0,0,0,0,130,No,Yes,16,6820,6402,68200
Gurranq's Beast Claw,Incantation,,Creates beast claws to rend surroundings with shockwaves,"Superior incantation taught by Gurranq, the Beast Clergyman. Creates beast claws that rend surroundings with shockwaves. Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods.""",0,15,0,1,21,0,42,Physical,225,0,0,0,0,180,No,Yes,16,6830,6403,68300
Bestial Vitality,Incantation,,Heals HP over a period of time,"Incantation taught by Gurranq, the Beast Clergyman. Fills the body with bestial vigor, restoring HP over a period of time. Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",0,12,0,1,18,0,10,-,-,-,-,-,-,-,No,Yes,18,6840,6500,-1
Bestial Constitution,Incantation,,Alleviates blood loss and frost buildup,"Incantation taught by Gurranq, the Beast Clergyman. Fills the body with bestial vigor, alleviating buildup of frost and blood loss. Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.",0,9,0,1,10,18,10,-,0,0,0,0,0,0,No,Yes,18,6850,6503,68600
Lightning Spear,Incantation,,Hurls lightning spear before caster,"One of the incantations of the capital's ancient dragon cult. Summons a lightning spear and hurls it before the caster. Charging causes a lightning bolt to strike the point of impact. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,17,0,1,18,36,28,Lightning,0,0,0,234,0,50,No,Yes,16,6900,6406,69000
Ancient Dragons' Lightning Strike,Incantation,,Summons red lightning that spreads from impact,"A secret incantation of the capital's ancient dragon cult. Summons a red bolt of lightning that scatters and spreads around the surrounding area. Charging enhances the range of the lightning bolt. Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",0,26,0,1,36,0,31,-,0,0,0,0,0,0,No,Yes,16,6910,6069,0
Lightning Strike,Incantation,,Summons lightning bolt that spreads from impact,"One of the incantations of the capital's ancient dragon cult. Summons a bolt of lightning that scatters and spreads around the surrounding area. This incantation can be cast repeatedly. Ancestors of the modern dragons, the ancient dragons had scales of Gravel Stone and wielded lightning as their weapon. It is said that once they attacked Leyndell, the Royal Capital.",0,28,0,1,21,0,37,-,0,0,0,0,0,0,No,Yes,16,6920,6408,0
Frozen Lightning Spear,Incantation,,Stabs with ice lightning spear from above,"Incantation that channels the power of the Dragonkin Soldiers. Creates a spear of ice lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning advancing forwards. The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon.",0,34,0,1,36,0,45,Lightning,0,0,0,240,0,90,No,Yes,16,6921,6072,69210
Honed Bolt,Incantation,,Strikes foe with lightning bolt from above,"One of the incantations of the capital's ancient dragon cult. Summons a bolt of lightning to strike foes from above. This incantation can be cast repeatedly. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,24,0,1,12,0,29,-,0,0,0,0,0,0,No,Yes,16,6930,6073,0
Ancient Dragons' Lightning Spear,Incantation,,Stabs with red lightning spear from above,"A secret incantation of the capital's ancient dragon cult. Creates a spear of red lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning covering the area. Spoken of in legend, red lightning is the weapon wielded by the ancient dragons.",0,32,0,1,42,0,41,Lightning,0,0,0,360,0,100,No,Yes,16,6940,6074,69400
Fortissax's Lightning Spear,Incantation,,Stabs from above with two red lightning spears in tandem,"Incantation that channels the power of the ancient dragon Fortissax. Creates two spears of red lightning and stabs them into the ground from above, one after another. On impact, each spear will burst into trails of lightning covering the area. During the War of the Ancient Dragons, these twin red lightning stakes were the hallmark of one ancient dragon who was called the mightiest boulderstone.",0,46,0,1,64,0,52,Lightning,0,0,0,367,0,100,No,Yes,16,6941,6075,69410
Lansseax's Glaive,Incantation,,Sweeps from above with red lightning glaive,Incantation that channels the power of the ancient dragon Lansseax. Creates a red-lightning glaive and sweeps the area from above. This attack unleashes trails of lightning. Lansseax was the sister of Fortissax. It is said that she took the form of a human to commune with the knights as a priestess of the ancient dragon cult.,0,40,0,1,35,0,55,Lightning,0,0,0,167,0,60,No,Yes,16,6950,6076,69502
Electrify Armament,Incantation,,Enchants right-hand armament with lightning damage,"One of the incantations of the capital's ancient dragon cult. Enchants armament held in the right hand with lightning-affinity attacks. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe—an event that gave rise to the ancient dragon cult in the capital.",0,15,0,1,27,0,10,-,-,-,-,-,-,-,Yes,Yes,18,6960,6077,-
Vyke's Dragonbolt,Incantation,,Bolsters right-hand armament & body with red lightning,"Incantation of Vyke, knight of the Roundtable Hold. Summons red lightning to bolster both the caster's body and their armament held in the right hand. Enchants armament with lightning-affinity attacks and increases maximum equipment load. However, lightning damage negation will be reduced. Of all the knights, Vyke the Dragonspear was the one Lansseax loved the most.",0,23,0,1,35,0,20,-,-,-,-,-,-,-,Yes,Yes,18,6970,6078,-
Dragonbolt Blessing,Incantation,,Bolsters caster's body with lightning,"Superior incantation of the capital's ancient dragon cult. Summons lightning to bolster the caster's body. Attacks become easier to deflect and resistance to all ailments is increased. However, lightning damage negation will be reduced. Only those loved by dragons can survive the ordeal of cladding their bodies in lightning.",0,21,0,1,20,4,20,-,-,-,-,-,-,-,No,Yes,18,6971,6079,-
Dragonfire,Incantation,,Channels dragon to spew flame breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew flaming breath. Charging extends duration. Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.,0,15,12,1,28,6,40,-,0,0,0,0,0,0,No,Yes,16,7000,6080,0
Agheel's Flame,Incantation,,Spews flame breath of Agheel from above,"Superior incantation of Dragon Communion. Channels the power of the flying dragon Agheel. Transforms caster into a dragon to spew flaming breath from above. Charging extends duration. This incantation can be used while jumping. The dead gazed at the skies over the lakes of Limgrave, praying that the dragons' flames would burn them to ash.",0,23,15,1,36,0,60,-,0,0,0,0,0,0,No,Yes,16,7001,6081,1
Magma Breath,Incantation,,Channels wyrm to spew magma breath,"One of the incantations of Dragon Communion. Transforms caster into a wyrm to spew magma breath. Allows one follow-up attack. Those who have performed the Dragon Communion will find their humanity slowly slipping away. Once they fully succumb to their fate, they are left no more than wyrms that crawl the earth.",0,14,10,1,30,0,40,Fire,0,0,223,0,0,180,No,Yes,16,7010,6082,70100
Theodorix's Magma,Incantation,,Spews magma breath of Theodorix from above,Superior incantation of Dragon Communion. Channels the power of the great wyrm Theodorix. Transforms caster into a great wyrm to spew a large volume of magma breath. Allows one follow-up attack. The name of the ancient troll warrior Theodorix lives on—as a hero of the War against the Giants.,0,21,14,1,45,4,60,Fire,0,0,315,0,0,240,No,Yes,16,7011,6105,70110
Dragonice,Incantation,,Channels dragon to spew icy breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew icy breath. Charging extends duration. Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.,0,15,12,1,36,6,48,-,0,0,0,0,0,0,No,Yes,16,7020,6083,0
Borealis's Mist,Incantation,,Spews icy breath of Borealis from above,"Superior incantation of Dragon Communion. Channels the power of Borealis, the Freezing Fog. Transforms caster into a dragon to spew icy breath from above. Charging extends duration. This incantation can be cast while jumping. The ice dragons were once lords of the mountaintops long ago, until they were defeated by the Fire Giants and chased from the peak.",0,23,15,1,48,4,60,-,0,0,0,0,0,0,No,Yes,16,7021,6084,0
Rotten Breath,Incantation,,Channels dragon to spew scarlet rot breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew scarlet rot breath. Charging extends duration. Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.,0,15,12,1,36,6,48,-,0,0,0,0,0,0,No,Yes,16,7030,6085,0
Ekzykes's Decay,Incantation,,Spews scarlet rot breath of Ekzykes from above,"Superior incantation of Dragon Communion. Channels the power of Ekzykes, the Decaying. Transforms caster into a dragon to spew scarlet rot breath from above. Charging extends duration. This incantation can be cast while jumping. Ekzykes, Dragon Communion Revenger, did not forget his hatred even as he succumbed to the scarlet rot.",0,23,15,1,48,4,60,-,0,0,0,0,0,0,No,Yes,16,7031,6086,0
Glintstone Breath,Incantation,,Channels dragon to spew magic breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew magic breath. Charging extends duration. Those extraordinary individuals who perpetuate Dragon Communion are called the dragon-hearted.,0,15,12,1,28,6,40,-,0,0,0,0,0,0,No,Yes,16,7040,6087,0
Smarag's Glintstone Breath,Incantation,,Spews magic breath of Glintstone Dragon Smarag from above,"Superior incantation of Dragon Communion. Channels the power of Smarag, the Glintstone Dragon. Transforms caster into a dragon to spew magic breath from above. Charging extends duration. This incantation can be cast while jumping. Smarag was a devourer of sorcerers, and over time, his body became corrupted by their glintstones.",0,23,15,1,36,0,60,-,0,0,0,0,0,0,No,Yes,16,7041,6088,0
