Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Critical),Attack Power (Stamina),Scaling Value (Str),Scaling Letter (Str),Scaling Value (Dex),Scaling Letter (Dex),Scaling Value (Int),Scaling Letter (Int),Scaling Value (Fai),Scaling Letter (Fai),Scaling Value (Arc),Scaling Letter (Arc),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Guarded Damage Negation (Physical),Guarded Damage Negation (Magic),Guarded Damage Negation (Fire),Guarded Damage Negation (Lightning),Guarded Damage Negation (Holy),Guarded Damage Negation (Guard Boost),Guard Resistance Reduction,Guard Frost Reduction,Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Thrust),Can Enchant,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Icon ID,Reinforce Type ID,Behavior Variation ID,,Stamina Usage %,1H Light Stamina Usage
Occult Zweihander,Zweihander,Occult,Colossal Sword,,Standard,"Just about the largest sword a mere man is capable of swinging. True to its name, it is designed to be wielded in both hands, but those of merely ordinary strength will still struggle to do so. The long blade is heavy and sharp, sending foes reeling back with its broader strokes, while also capable of a devastating piercing thrust.",-,-,-,Stamp (Upward Cut),5,15.5,100,860,122,0,0,0,0,100,63,12,E,15,E,0,-,0,-,73,C,19,11,0,0,0,54.0,40.0,40.0,40.0,40.0,36,22.0,22.0,Yes,No,No,No,No,4041200,4,04,1200,26,10124,1200,402,20,0.98,19.6
Starscourge Greatsword,Starscourge Greatsword,-,Colossal Sword,,Standard,"Curved greatswords of black steel wielded by General Radahn. A pair of weapons decorated with a lion mane motif. Radahn earned considerable renown as the Starscourge in his youth, and it is said that it was during this time he engraved the gravity crest upon these blades.",-,-,-,Starcaller Cry,20,20,1000,1130,129,83,0,0,0,100,78,50,D,28,D,20,E,0,-,0,-,38,12,15,0,0,49.0,47.0,34.0,34.0,34.0,42,26.0,26.0,Yes,No,No,No,No,4050000,4,05,0000,26,10125,2200,405,20,1.03,20.6
Royal Greatsword,Royal Greatsword,-,Colossal Sword,,Standard,"Greatsword decorated in royal Carian style. Favored weapon of Blaidd the Half-Wolf. In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof, the sword was imbued with a cold magic at the moment the oath was sworn.",-,-,-,Wolf's Assault,20,20,500,1080,112,134,0,0,0,100,75,35,D,15,E,40,D,0,-,0,-,26,18,22,0,0,63.0,47.0,47.0,47.0,47.0,42,26.0,26.0,Yes,No,No,No,No,4060000,4,06,0000,26,10126,2200,406,20,1.07,21.4
Godslayer's Greatsword,Godslayer's Greatsword,-,Colossal Sword,,Standard,Sacred sword of the Dusk-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh. The black flames wielded by the apostles are channeled from this sword.,-,-,-,The Queen's Black Flame,15,17.5,1000,1180,119,0,77,0,0,100,60,31,D,52,D,0,-,40,D,0,-,20,22,0,20,0,49.0,38.0,49.0,38.0,38.0,40,22.0,22.0,Yes,No,No,No,No,4070000,4,07,0000,26,10127,2200,404,15,1.02,15.3
Ruins Greatsword,Ruins Greatsword,-,Colossal Sword,,Standard,"Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon. One of the legendary armaments. The ruin it came from crumbled when struck by a meteorite, as such this weapon harbors its destructive power.",-,-,-,Wave of Destruction,25,23,1000,1320,124,37,0,0,0,100,84,100,B,0,-,20,E,0,-,0,-,50,0,16,0,0,65.0,56.0,50.0,50.0,50.0,45,28.0,28.0,Yes,No,No,No,No,4080000,4,08,0000,26,10128,2200,403,20,1.075,21.5
Grafted Blade Greatsword,Grafted Blade Greatsword,-,Colossal Sword,,Standard,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret. One of the legendary armaments. A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors.",-,-,-,Oath of Vengeance,20,21,200,1190,157,0,0,0,0,100,80,60,C,19,E,0,-,0,-,0,-,40,14,0,0,0,64.0,48.0,48.0,48.0,48.0,44,26.0,26.0,Yes,No,No,No,No,4100000,4,10,0000,26,10130,2200,407,20,1.045,20.9
Troll Knight's Sword,Troll Knight's Sword,-,Colossal Sword,,Standard,"Greatsword embedded with a blue glintstone. Weapon of the trolls in service to the royal family of Caria. Called into service when the Queen invoked an oath they swore, the trolls are treated as true knights of Caria, and fight arm in arm with their human comrades.",-,-,-,Troll's Roar,22,18,200,990,124,80,0,0,0,100,75,40,D,40,D,28,D,0,-,0,-,20,14,18,0,0,55.0,55.0,43.0,43.0,43.0,40,25.0,25.0,Yes,No,No,No,No,4110000,4,11,0000,26,10132,2200,402,20,1,20
Estoc,Estoc,-,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,107,0,0,0,0,100,33,14,E,60,C,0,-,0,-,0,-,11,13,0,0,0,54.0,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,Yes,5000000,5,00,0000,27,10160,0,503,8,1.2,9.6
Heavy Estoc,Estoc,Heavy,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,96,0,0,0,0,100,33,75,C,0,-,0,-,0,-,0,-,11,13,0,0,0,54.0,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,Yes,5000100,5,00,0100,27,10160,100,503,8,1.2,9.6
Keen Estoc,Estoc,Keen,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,96,0,0,0,0,100,31,7,E,81,C,0,-,0,-,0,-,11,13,0,0,0,54.0,36.0,36.0,36.0,36.0,24,12.0,18.0,Yes,No,No,Yes,Yes,5000200,5,00,0200,27,10160,5000,503,8,1.2,9.6
Quality Estoc,Estoc,Quality,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,91,0,0,0,0,100,33,49,D,49,D,0,-,0,-,0,-,11,13,0,0,0,54.0,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,Yes,5000300,5,00,0300,27,10160,300,503,8,1.2,9.6
Fire Estoc,Estoc,Fire,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,81,0,81,0,0,100,33,40,D,3,E,0,-,0,-,0,-,11,13,0,0,0,51.3,34.2,41.4,37.8,34.2,24,11.4,12.0,Yes,No,No,Yes,No,5000400,5,00,0400,27,10160,400,503,8,1.2,9.6
Flame Art Estoc,Estoc,Flame Art,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,86,0,86,0,0,100,33,3,E,9,E,0,-,35,D,0,-,11,13,0,0,0,51.3,34.2,41.4,37.8,34.2,24,11.4,12.0,Yes,No,No,Yes,No,5000500,5,00,0500,27,10160,500,503,8,1.2,9.6
Lightning Estoc,Estoc,Lightning,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,81,0,0,81,0,100,33,3,E,40,D,0,-,0,-,0,-,11,13,0,0,0,51.3,34.2,37.8,41.4,34.2,24,11.4,12.0,Yes,No,No,Yes,No,5000600,5,00,0600,27,10160,600,503,8,1.2,9.6
Sacred Estoc,Estoc,Sacred,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,76,0,0,0,76,100,33,4,E,12,E,0,-,35,D,0,-,11,13,0,0,0,51.3,37.8,34.2,34.2,41.4,24,11.4,12.0,Yes,No,No,Yes,No,5000700,5,00,0700,27,10160,700,503,8,1.2,9.6
Magic Estoc,Estoc,Magic,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,76,76,0,0,0,100,33,3,E,9,E,37,D,0,-,0,-,11,13,0,0,0,51.3,41.4,34.2,34.2,37.8,24,11.4,12.0,Yes,No,No,Yes,No,5000800,5,00,0800,27,10160,800,503,8,1.2,9.6
Cold Estoc,Estoc,Cold,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",Causes frost buildup (66),-,-,Impaling Thrust,9,4.5,100,280,86,69,0,0,0,100,33,12,E,54,D,29,D,0,-,0,-,11,13,0,0,0,51.3,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,No,5000900,5,00,0900,27,10160,900,503,8,1.2,9.6
Poison Estoc,Estoc,Poison,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",Causes poison buildup (66),-,-,Impaling Thrust,9,4.5,100,280,86,0,0,0,0,100,33,12,E,54,D,0,-,0,-,30,D,11,13,0,0,0,51.3,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,No,5001000,5,00,1000,27,10160,1000,503,8,1.2,9.6
Blood Estoc,Estoc,Blood,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",Causes blood loss buildup (57),-,-,Impaling Thrust,9,4.5,100,280,86,0,0,0,0,100,33,12,E,54,D,0,-,0,-,30,D,11,13,0,0,0,51.3,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,No,5001100,5,00,1100,27,10160,1100,503,8,1.2,9.6
Occult Estoc,Estoc,Occult,Thrusting Sword,,Standard/Thrust,"Large piercing sword with a long, hard bladed edge which is also capable of slashing attacks. For its large size, it can be wielded rather nimbly, leaving little opportunity for the enemy to counter.",-,-,-,Impaling Thrust,9,4.5,100,280,91,0,0,0,0,100,33,4,E,19,E,0,-,0,-,62,C,11,13,0,0,0,54.0,36.0,36.0,36.0,36.0,24,12.0,12.0,Yes,No,No,Yes,No,5001200,5,00,1200,27,10160,1200,503,8,1.2,9.6
Cleanrot Knight's Sword,Cleanrot Knight's Sword,-,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,200,260,109,0,0,0,0,100,33,45,D,30,D,0,-,0,-,0,-,11,13,0,0,0,51.0,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,Yes,5010000,5,01,0000,27,10161,0,500,8,1.13,9.04
Cleanrot Knight's Heavy Sword,Cleanrot Knight's Sword,Heavy,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,98,0,0,0,0,100,33,81,C,0,-,0,-,0,-,0,-,11,13,0,0,0,51.0,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,Yes,5010100,5,01,0100,27,10161,100,500,8,1.13,9.04
Cleanrot Knight's Keen Sword,Cleanrot Knight's Sword,Keen,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,98,0,0,0,0,100,33,7,E,70,C,0,-,0,-,0,-,11,13,0,0,0,51.0,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,Yes,5010200,5,01,0200,27,10161,200,500,8,1.13,9.04
Cleanrot Knight's Quality Sword,Cleanrot Knight's Sword,Quality,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,93,0,0,0,0,100,33,51,D,51,D,0,-,0,-,0,-,11,13,0,0,0,51.0,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,Yes,5010300,5,01,0300,27,10161,300,500,8,1.13,9.04
Cleanrot Knight's Fire Sword,Cleanrot Knight's Sword,Fire,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,83,0,83,0,0,100,33,40,D,3,E,0,-,0,-,0,-,11,13,0,0,0,48.5,32.3,39.1,35.7,32.3,23,10.5,11.0,Yes,No,No,Yes,No,5010400,5,01,0400,27,10161,400,500,8,1.13,9.04
Cleanrot Knight's Flame Art Sword,Cleanrot Knight's Sword,Flame Art,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,88,0,88,0,0,100,33,7,E,4,E,0,-,37,D,0,-,11,13,0,0,0,48.5,32.3,39.1,35.7,32.3,23,10.5,11.0,Yes,No,No,Yes,No,5010500,5,01,0500,27,10161,500,500,8,1.13,9.04
Cleanrot Knight's Lightning Sword,Cleanrot Knight's Sword,Lightning,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,83,0,0,83,0,100,33,3,E,40,D,0,-,0,-,0,-,11,13,0,0,0,48.5,32.3,35.7,39.1,32.3,23,10.5,11.0,Yes,No,No,Yes,No,5010600,5,01,0600,27,10161,600,500,8,1.13,9.04
Cleanrot Knight's Sacred Sword,Cleanrot Knight's Sword,Sacred,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,78,0,0,0,78,100,33,9,E,6,E,0,-,37,D,0,-,11,13,0,0,0,48.5,35.7,32.3,32.3,39.1,23,10.5,11.0,Yes,No,No,Yes,No,5010700,5,01,0700,27,10161,700,500,8,1.13,9.04
Cleanrot Knight's Magic Sword,Cleanrot Knight's Sword,Magic,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,78,78,0,0,0,100,33,6,E,4,E,37,D,0,-,0,-,11,13,0,0,0,48.5,39.1,32.3,32.3,35.7,23,10.5,11.0,Yes,No,No,Yes,No,5010800,5,01,0800,27,10161,800,500,8,1.13,9.04
Cleanrot Knight's Cold Sword,Cleanrot Knight's Sword,Cold,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",Causes frost buildup (66),-,-,Impaling Thrust,9,4,100,260,88,70,0,0,0,100,33,40,D,27,D,33,D,0,-,0,-,11,13,0,0,0,48.5,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,No,5010900,5,01,0900,27,10161,900,500,8,1.13,9.04
Cleanrot Knight's Poison Sword,Cleanrot Knight's Sword,Poison,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",Causes poison buildup (66),-,-,Impaling Thrust,9,4,100,260,88,0,0,0,0,100,33,40,D,27,D,0,-,0,-,30,D,11,13,0,0,0,48.5,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,No,5011000,5,01,1000,27,10161,1000,500,8,1.13,9.04
Cleanrot Knight's Blood Sword,Cleanrot Knight's Sword,Blood,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",Causes blood loss buildup (57),-,-,Impaling Thrust,9,4,100,260,88,0,0,0,0,100,33,40,D,27,D,0,-,0,-,30,D,11,13,0,0,0,48.5,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,No,5011100,5,01,1100,27,10161,1100,500,8,1.13,9.04
Cleanrot Knight's Occult Sword,Cleanrot Knight's Sword,Occult,Thrusting Sword,,Standard/Thrust,"Piercing sword of the Cleanrot Knights who fought alongside Malenia, Blade of Miquella. Mainly used as a backup weapon, in combination with a long-handled armament.",-,-,-,Impaling Thrust,9,4,100,260,93,0,0,0,0,100,33,14,E,9,E,0,-,0,-,63,C,11,13,0,0,0,51.0,34.0,34.0,34.0,34.0,23,11.0,11.0,Yes,No,No,Yes,No,5011200,5,01,1200,27,10161,1200,500,8,1.13,9.04
Rapier,Rapier,-,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,96,0,0,0,0,130,30,20,E,60,C,0,-,0,-,0,-,7,12,0,0,0,45.0,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,Yes,5020000,5,02,0000,27,10162,0,500,8,1,8
Heavy Rapier,Rapier,Heavy,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,87,0,0,0,0,130,30,79,C,0,-,0,-,0,-,0,-,7,12,0,0,0,45.0,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,Yes,5020100,5,02,0100,27,10162,100,500,8,1,8
Keen Rapier,Rapier,Keen,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,87,0,0,0,0,130,28,8,E,88,C,0,-,0,-,0,-,7,12,0,0,0,45.0,30.0,30.0,30.0,30.0,20,10.0,15.0,Yes,No,No,Yes,Yes,5020200,5,02,0200,27,10162,5000,500,8,1,8
Quality Rapier,Rapier,Quality,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,82,0,0,0,0,130,30,52,D,52,D,0,-,0,-,0,-,7,12,0,0,0,45.0,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,Yes,5020300,5,02,0300,27,10162,300,500,8,1,8
Fire Rapier,Rapier,Fire,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,73,0,73,0,0,130,30,45,D,8,E,0,-,0,-,0,-,7,12,0,0,0,42.8,28.5,34.5,31.5,28.5,20,9.5,10.0,Yes,No,No,Yes,No,5020400,5,02,0400,27,10162,400,500,8,1,8
Flame Art Rapier,Rapier,Flame Art,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,78,0,78,0,0,130,30,3,E,9,E,0,-,40,D,0,-,7,12,0,0,0,42.8,28.5,34.5,31.5,28.5,20,9.5,10.0,Yes,No,No,Yes,No,5020500,5,02,0500,27,10162,500,500,8,1,8
Lightning Rapier,Rapier,Lightning,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,73,0,0,73,0,130,30,8,E,45,D,0,-,0,-,0,-,7,12,0,0,0,42.8,28.5,31.5,34.5,28.5,20,9.5,10.0,Yes,No,No,Yes,No,5020600,5,02,0600,27,10162,600,500,8,1,8
Sacred Rapier,Rapier,Sacred,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,69,0,0,0,69,130,30,4,E,12,E,0,-,40,D,0,-,7,12,0,0,0,42.8,31.5,28.5,28.5,34.5,20,9.5,10.0,Yes,No,No,Yes,No,5020700,5,02,0700,27,10162,700,500,8,1,8
Magic Rapier,Rapier,Magic,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,69,69,0,0,0,130,30,4,E,13,E,40,D,0,-,0,-,7,12,0,0,0,42.8,34.5,28.5,28.5,31.5,20,9.5,10.0,Yes,No,No,Yes,No,5020800,5,02,0800,27,10162,800,500,8,1,8
Cold Rapier,Rapier,Cold,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",Causes frost buildup (66),-,-,Impaling Thrust,9,2.5,100,180,78,62,0,0,0,130,30,18,E,54,D,32,D,0,-,0,-,7,12,0,0,0,42.8,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,No,5020900,5,02,0900,27,10162,900,500,8,1,8
Poison Rapier,Rapier,Poison,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",Causes poison buildup (66),-,-,Impaling Thrust,9,2.5,100,180,78,0,0,0,0,130,30,19,E,57,D,0,-,0,-,30,D,7,12,0,0,0,42.8,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,No,5021000,5,02,1000,27,10162,1000,500,8,1,8
Blood Rapier,Rapier,Blood,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",Causes blood loss buildup (57),-,-,Impaling Thrust,9,2.5,100,180,78,0,0,0,0,130,30,19,E,57,D,0,-,0,-,30,D,7,12,0,0,0,42.8,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,No,5021100,5,02,1100,27,10162,1100,500,8,1,8
Occult Rapier,Rapier,Occult,Thrusting Sword,,Standard/Thrust,"A piercing sword with a sharp, slender blade. In addition to this weapon's thrusting attack prowess, it also boasts the ability to be used while guarding with a shield. As one of the smaller piercing swords, quick successive thrusts are easy to perform, but without a cutting edge, it cannot be used for slashing attacks.",-,-,-,Impaling Thrust,9,2.5,100,180,82,0,0,0,0,130,30,6,E,19,E,0,-,0,-,68,C,7,12,0,0,0,45.0,30.0,30.0,30.0,30.0,20,10.0,10.0,Yes,No,No,Yes,No,5021200,5,02,1200,27,10162,1200,500,8,1,8
Rogier's Rapier,Rogier's Rapier,-,Thrusting Sword,,Standard/Thrust,"Piercing sword of superior quality, featuring intricate ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",-,-,-,Repeating Thrust,7,3.5,100,230,93,0,0,0,0,110,31,15,E,76,C,0,-,0,-,0,-,8,17,0,0,0,49.0,33.0,33.0,33.0,33.0,22,11.0,11.0,Yes,No,No,Yes,Yes,5030000,5,03,0000,27,10163,0,502,8,1.1,8.8
Rogier's Heavy Rapier,Rogier's Rapier,Heavy,Thrusting Sword,,Standard/Thrust,"Piercing sword of superior quality, featuring intricate ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",-,-,-,Repeating Thrust,7,3.5,100,230,84,0,0,0,0,110,31,90,B,0,-,0,-,0,-,0,-,8,17,0,0,0,49.0,33.0,33.0,33.0,33.0,22,11.0,11.0,Yes,No,No,Yes,Yes,5030100,5,03,0100,27,10163,100,502,8,1.1,8.8
Rogier's Keen Rapier,Rogier's Rapier,Keen,Thrusting Sword,,Standard/Thrust,"Piercing sword of superior quality, featuring intricate ornamentation. Signature weapon of the sorcerer Rogier. High dexterity is required to wield the blade to its full potential, but mastery is a sight to behold, characterized by a flowing style which excels in successive attacks.",-,-,-,Repeating Thrust,7,3.5,100,230,84,0,0,0,0,110,29,9,E,100,B,0,-,0,-,0,-,8,17,0,0,0,49.0,33.0,33.0,33.0,33.0,22,11.0,16.5,Yes,No,No,Yes,Yes,5030200,5,03,0200,27,10163,5000,502,8,1.1,8.8
